uuid,work_id,work_level,work_name,school,player,tutor
Table2_0,68558,三等奖,先人一步—— 基于课程和课余竞赛的学业指导平台,大连海事大学,张少卿、潘航航、王淞熠,N/A
Table2_1,68561,三等奖,校信通,大连海事大学,李宇龙、魏子沄、徐安迪,陶小旖
Table2_2,68569,一等奖,基于 Faster R - CNN 的鱼类分类识别算法,大连海事大学,杨媛翔、郭宇森、贾明晖,季昉、柳丽川
Table2_3,68572,一等奖,一次学会 Dijkstra 算法,大连海事大学,赵安琪、颜炳阳、常宇春,李楠
Table2_4,68576,三等奖,谁在对面,大连海事大学,齐怀远、史佳禾、林勃宇,季昉
Table2_5,68587,一等奖,微波暗室 VR 虚拟实验平台,大连海事大学,陈晖、史玉鹏、李大庆,傅世强、李婵娟
Table2_6,68589,三等奖,基于特征工程与神经网络的恶意软件预测分析,大连海事大学,贾明晖、郭宇森、杨媛翔,柳丽川
Table2_7,68591,二等奖,基于图像数据挖掘的农作物病虫害精准检测系统,大连海事大学,魏文晖、贾泽宇、林婷婷,毕胜、金国华
Table2_8,68595,二等奖,基于 RS-CNN 的森林火灾智能监控系统,大连海事大学,石镜澄、孙英、郑文睿,王玉磊、汪青
Table2_9,68596,三等奖,灾难救援机器人,大连海事大学,兰倩倩、蒙立伟、魏文晖,毕胜、金国华
Table2_10,68597,三等奖,融合深度学习和虚拟现实技术的新型水下捕捞机器人,大连海事大学,焦子潇、王馨悦、刘震生,付先平
Table2_11,68612,二等奖,海员说|情迁大海，为梦远航,大连海事大学,张璐、刘震生、张天哲,朱公志
Table2_12,68616,二等奖,海大裕如,大连海事大学,李航、袁昊,周新
Table2_13,68626,三等奖,全面建成小康社会数据可视化,大连海事大学,李鸿达、赵锡言、陈思沅,季昉
Table2_14,68628,一等奖,《乌衣巷》,南京工业大学浦江学院,林书祺、雷晓慧、宫玉龙,王欣
Table2_15,68634,二等奖,基于云服务的桥梁微变感知系统,南京工业大学浦江学院,潘时祥、周星宇、申悦,徐平平、王树军
Table2_16,68636,二等奖,云锦—锦织明韵,大连海事大学,王通烁、邱昕宇、马小然,宋先忠
Table2_17,68639,二等奖,基于物联网的一体化智能体测系统,南京工业大学浦江学院,孙宗恩、王伟烽、陆洋,徐平平、王欣
Table2_18,68641,二等奖,基于人工智能的护花系统,南京工业大学浦江学院,方家辉、宁振国、刘克鑫,王树军、杨小琴
Table2_19,68642,二等奖,城文,大连海事大学,周琳琨、付膑弘,陈颖
